1,4,2015-01-01,AA,AA,11298,30194,TX,12173,32134,HI,1055,1339,164.00,19.00,1358,1808,11.00,1525,1819,174.00,0.00,,0.00
1,4,2015-01-01,AA,AA,12892,32575,CA,13303,32467,FL,1250,1305,15.00,17.00,1322,2038,4.00,2035,2042,7.00,0.00,,0.00
1,4,2015-01-01,AA,AA,10397,30397,GA,11298,30194,TX,1755,1754,0.00,14.00,1808,1901,8.00,1930,1909,-21.00,0.00,,0.00
1,4,2015-01-01,AA,AA,11298,30194,TX,10397,30397,GA,1415,1430,15.00,9.00,1439,1708,5.00,1715,1713,-2.00,0.00,,0.00
1,4,2015-01-01,AA,AA,11298,30194,TX,14107,30466,AZ,1145,1209,24.00,29.00,1238,1402,13.00,1325,1415,50.00,0.00,,0.00
1,4,2015-01-01,AA,AA,14107,30466,AZ,11298,30194,TX,1410,1508,58.00,21.00,1529,1816,9.00,1730,1825,55.00,0.00,,0.00
1,4,2015-01-01,AA,AA,12264,30852,VA,11298,30194,TX,0625,0622,0.00,14.00,0636,0856,16.00,0855,0912,17.00,0.00,,0.00
1,4,2015-01-01,AA,AA,11298,30194,TX,12264,30852,VA,2020,2152,92.00,38.00,2230,0138,6.00,2355,0144,109.00,0.00,,0.00
1,4,2015-01-01,AA,AA,12451,31136,FL,11298,30194,TX,0635,0648,13.00,13.00,0701,0822,11.00,0825,0833,8.00,0.00,,0.00
1,4,2015-01-01,AA,AA,13303,32467,FL,15304,33195,FL,0702,,,,,,,0806,,,1.00,A,0.00
1,4,2015-01-01,AA,AA,15304,33195,FL,13303,32467,FL,0847,,,,,,,0954,,,1.00,A,0.00
1,4,2015-01-01,AA,AA,12892,32575,CA,13204,31454,FL,1150,1201,11.00,31.00,1232,1950,5.00,1925,1955,30.00,0.00,,0.00
